"title","imdb_id","release_year","Budget"
"The New Mutants","tt4682266",2020,6.7e+07
"Nymphomaniac: Vol. I","tt1937390",2013,NA
"The Raid","tt1899353",2012,NA
"Mechanic: Resurrection","tt3522806",2016,4e+07
"Wild Tales","tt3011894",2014,NA
"Minions: The Rise of Gru","tt5113044",2022,NA
"Lightyear","tt10298810",2022,2e+08
"Death on the Nile","tt7657566",2022,9e+07
"I Origins","tt2884206",2014,1e+06
"Chef","tt2883512",2014,NA
"The Flash","tt0439572",2023,2e+08
"The Last Duel","tt4244994",2021,1e+08
"Raw","tt4954522",2016,NA
"The Great Beauty","tt2358891",2013,NA
"The Bling Ring","tt2132285",2013,NA
"Side Effects","tt2053463",2013,3e+07
"Two Is a Family","tt5078204",2016,NA
"Lawless","tt1212450",2012,NA
"Last Night in Soho","tt9639470",2021,4.3e+07
"The Tomorrow War","tt9777666",2021,2e+08
"Promising Young Woman","tt9620292",2020,NA
"House of Gucci","tt11214590",2021,7.5e+07
"The Master","tt1560747",2012,37500000
"The SpongeBob Movie: Sponge on the Run","tt4823776",2020,NA
"The Spectacular Now","tt1714206",2013,2500000
"The Ritual","tt5638642",2017,NA
"Palm Springs","tt9484998",2020,5e+06
"Nomadland","tt9770150",2021,5e+06
"Nymphomaniac: Vol. II","tt2382009",2013,NA
"The Wind Rises","tt2013293",2013,NA
"The Two Popes","tt8404614",2019,NA
"The Best Offer","tt1924396",2013,NA
"Moonfall","tt5834426",2022,1.5e+08
"12 Strong","tt1413492",2018,3.5e+07
"The Lost City of Z","tt1212428",2017,3e+07
"Good Time","tt4846232",2017,NA
"Den of Thieves","tt1259528",2018,3e+07
"The Little Prince","tt1754656",2015,NA
"Roald Dahl's The Witches","tt0805647",2020,NA
"Mud","tt1935179",2013,1e+07
"Coherence","tt2866360",2013,NA
"You Were Never Really Here","tt5742374",2017,NA
"Dragon Ball Super: Super Hero","tt14614892",2022,NA
"LOL","tt1592873",2012,1.1e+07
"Café Society","tt4513674",2016,NA
"Mommy","tt3612616",2014,4900000
"Nightmare Alley","tt7740496",2021,6e+07
"The Florida Project","tt5649144",2017,2e+06
"Inside Llewyn Davis","tt2042568",2013,1.1e+07
"Locke","tt2692904",2014,2e+06
"Guillermo del Toro's Pinocchio","tt1488589",2022,NA
"Green Room","tt4062536",2016,NA
"I Care a Lot","tt9893250",2021,NA
"Shazam! Fury of the Gods","tt10151854",2023,NA
"The Power of the Dog","tt10293406",2021,3.5e+07
"They Call Me Jeeg","tt3775086",2016,NA
"The Invitation","tt2400463",2015,1e+06
"No Escape","tt1781922",2015,5e+06
"I Am Mother","tt6292852",2019,NA
"Upside Down","tt1374992",2012,5e+07
"Dungeons & Dragons: Honor Among Thieves","tt2906216",2023,NA
"Inherent Vice","tt1791528",2014,2e+07
"After We Fell","tt13069986",2021,NA
"The Dead Don't Die","tt8695030",2019,NA
"You're Next","tt1853739",2013,NA
"Evil Dead Rise","tt13345606",2023,NA
"Tom & Jerry","tt1361336",2021,NA
"Loving Vincent","tt3262342",2017,5500000
"Suspiria","tt1034415",2018,2e+07
"The Boss Baby: Family Business","tt6932874",2021,NA
"Sound of Metal","tt5363618",2020,5400000
"Only God Forgives","tt1602613",2013,4800000
"The Bélier Family","tt3547740",2014,NA
"Irrational Man","tt3715320",2015,NA
"The Big Sick","tt5462602",2017,5e+06
"Don't Breathe 2","tt6246322",2021,NA
"Beautiful Boy","tt1226837",2018,2.5e+07
"Safe","tt1656190",2012,NA
"The French Dispatch","tt8847712",2021,NA
"Snitch","tt0882977",2013,1.5e+07
"The Forever Purge","tt10327252",2021,1.8e+07
"Hardcore Henry","tt3072482",2015,2e+06
"Portrait of a Lady on Fire","tt8613070",2019,NA
"Ghostland","tt6195094",2018,NA
"Resident Evil: Welcome to Raccoon City","tt6920084",2021,2.5e+07
"We Are Your Friends","tt3787590",2015,2e+06
"It Comes at Night","tt4695012",2017,5e+06
"Horns","tt1528071",2013,NA
"Before Midnight","tt2209418",2013,3e+06
"Anna Karenina","tt1781769",2012,4.9e+07
"Grimsby","tt3381008",2016,3.5e+07
"Foxcatcher","tt1100089",2014,2.4e+07
"The Raid 2","tt2265171",2014,NA
"Sing Street","tt3544112",2016,NA
"All the Money in the World","tt5294550",2017,5e+07
"Paddington 2","tt4468740",2017,NA
"Wolf Children","tt2140203",2012,NA
"Chaos Walking","tt2076822",2021,1e+08
"Zoolander 2","tt1608290",2016,5e+07
"The Banshees of Inisherin","tt11813216",2022,2e+07
"King Richard","tt9620288",2021,5e+07
"A Rainy Day in New York","tt7139936",2019,NA
"Guns Akimbo","tt6902676",2020,NA
"The First Time","tt1763303",2012,NA
"Meg 2: The Trench","tt9224104",2023,1.29e+08
"The Beguiled","tt5592248",2017,NA
"Where Am I Going?","tt5290524",2016,NA
"Creed III","tt11145118",2023,7.5e+07
"Victor Frankenstein","tt1976009",2015,4e+07
"The Unholy","tt9419056",2021,1e+07
"The Pope's Exorcist","tt13375076",2023,NA
"Demolition","tt1172049",2015,NA
"Triple 9","tt1712261",2016,2e+07
"Magic in the Moonlight","tt2870756",2014,NA
"Weathering with You","tt9426210",2019,NA
"Hitman's Wife's Bodyguard","tt8385148",2021,NA
"Bone Tomahawk","tt2494362",2015,2e+06
"Beauty and the Beast","tt2316801",2014,2e+07
"Licorice Pizza","tt11271038",2021,4e+07
"Trolls World Tour","tt6587640",2020,NA
"Don't Worry Darling","tt10731256",2022,NA
"To Rome with Love","tt1859650",2012,21500000
"Before I Go to Sleep","tt1726592",2014,2.2e+07
"Dark Waters","tt9071322",2019,NA
"A Man Called Otto","tt7405458",2022,5e+07
"Hunt for the Wilderpeople","tt4698684",2016,2500000
"Shot Caller","tt4633690",2017,NA
"Step Up All In","tt2626350",2014,NA
"Shoplifters","tt8075192",2018,NA
"Scream VI","tt17663992",2023,3.5e+07
"The Girl with All the Gifts","tt4547056",2016,NA
"True Story","tt2273657",2015,NA
"The Garden of Words","tt2591814",2013,NA
"Orphan: First Kill","tt11851548",2022,NA
"Knock at the Cabin","tt15679400",2023,2e+07
"tick, tick... BOOM!","tt8721424",2021,NA
"The Wolf's Call","tt7458762",2019,NA
"Colonia","tt4005402",2015,NA
"Babysitting","tt3013602",2014,NA
"On My Skin","tt7121252",2018,NA
"Vivarium","tt8368406",2019,NA
"Stuck in Love","tt2205697",2013,NA
"The Sisters Brothers","tt4971344",2018,3.8e+07
"Ip Man 4: The Finale","tt2076298",2019,NA
"Midnight Special","tt2649554",2016,1.8e+07
"Machete Kills","tt2002718",2013,2e+07
"The Fabelmans","tt14208870",2022,NA
"Papillon","tt5093026",2017,13500000
"Indiana Jones and the Dial of Destiny","tt1462764",2023,402300000
"Escape Room: Tournament of Champions","tt9844522",2021,1.5e+07
"Two Night Stand","tt2140619",2014,1600000
"Mr. Holmes","tt3168230",2015,NA
"I Want You","tt1797504",2012,NA
"St. Vincent","tt2170593",2014,1.3e+07
"The Woman King","tt8093700",2022,5e+07
"I Can Quit Whenever I Want","tt3438354",2014,NA
"Paterson","tt5247022",2016,5e+06
"Before I Wake","tt3174376",2016,NA
"The Last: Naruto the Movie","tt3717532",2014,NA
"Barbarian","tt15791034",2022,4500000
"Dragon Ball Z: Resurrection 'F'","tt3819668",2015,NA
"A Wrinkle in Time","tt1620680",2018,NA
"Terrifier","tt4281724",2018,35000
"Regression","tt3319920",2015,2e+07
"Batman: The Killing Joke","tt4853102",2016,NA
"Mary Queen of Scots","tt2328900",2018,NA
"Before We Go","tt0443465",2014,3e+06
"The Midnight Sky","tt10539608",2020,1e+08
"The Death of Stalin","tt4686844",2017,NA
"Spiral: From the Book of Saw","tt10342730",2021,NA
"Vampire Academy","tt1686821",2014,NA
"The Unforgivable","tt11233960",2021,NA
"65","tt12261776",2023,4.5e+07
"Guy Ritchie's The Covenant","tt4873118",2023,NA
"Pain and Glory","tt8291806",2019,NA
"Look Who's Back","tt4176826",2015,NA
"Ron's Gone Wrong","tt7504818",2021,NA
"Winchester","tt1072748",2018,3500000
"Triangle of Sadness","tt7322224",2022,15600000
"The Voices","tt1567437",2014,NA
"Miss Sloane","tt4540710",2016,1.8e+07
"The Way Way Back","tt1727388",2013,5e+06
"Clifford the Big Red Dog","tt2397461",2021,6.4e+07
"When Marnie Was There","tt3398268",2014,NA
"The Green Knight","tt9243804",2021,1.5e+07
"The Campaign","tt1790886",2012,9.5e+07
"Beasts of No Nation","tt1365050",2015,6e+06
"Violent Night","tt12003946",2022,2e+07
"Sun in Buckets","tt3066270",2013,NA
"Veronica","tt5862312",2017,NA
"Suburbicon","tt0491175",2017,2.5e+07
"News of the World","tt6878306",2020,3.8e+07
"Scoob!","tt3152592",2020,NA
"#Alive","tt10620868",2020,3.2e+07
"Alibi.com","tt5657028",2017,NA
"Suck Me Shakespeer","tt2987732",2013,NA
"Ip Man 3","tt2888046",2015,NA
"The Tale of The Princess Kaguya","tt2576852",2013,NA
"Filth","tt1450321",2013,NA
"Honest Thief","tt1838556",2020,3e+07
"Life in a Year","tt6598238",2020,NA
"Hummingbird","tt1893256",2013,2.3e+07
"Tale of Tales","tt3278330",2015,NA
"The Guilty","tt6742252",2018,NA
"Child 44","tt1014763",2015,5e+07
"The Signal","tt2910814",2014,50000
"The Infiltrator","tt1355631",2016,47500000
"The Cobbler","tt3203616",2014,NA
"What's in a Name","tt2179121",2012,NA
"Capernaum","tt8267604",2018,NA
"Suffragette","tt3077214",2015,1.4e+07
"Automata","tt1971325",2014,1.5e+07
"It's Only the End of the World","tt4645368",2016,NA
"Alvin and the Chipmunks: The Road Chip","tt2974918",2015,9e+07
"The Dressmaker","tt2910904",2015,11900000
"The Brand New Testament","tt3792960",2015,NA
"The Wailing","tt5215952",2016,NA
"The Finest Hours","tt2025690",2016,7e+07
"The Unbearable Weight of Massive Talent","tt11291274",2022,3e+07
"The Ice Road","tt3758814",2021,NA
"Texas Chainsaw 3D","tt1572315",2013,2e+07
"Maggie","tt1881002",2015,4500000
"Ruby Sparks","tt1839492",2012,NA
"All Is Lost","tt2017038",2013,8500000
"Get the Gringo","tt1567609",2012,NA
"The Hand of God","tt12680684",2021,NA
"Trumbo","tt3203606",2015,1.5e+07
"Iron Sky","tt1034314",2012,NA
"Chernobyl Diaries","tt1991245",2012,1e+06
"Cocaine Bear","tt14209916",2023,NA
"Goodnight Mommy","tt3086442",2014,NA
"Anon","tt5397194",2018,NA
"Eye in the Sky","tt2057392",2015,1.3e+07
"mid90s","tt5613484",2018,2800000
"Blood Father","tt3647498",2016,NA
"Hotel Artemis","tt5834262",2018,NA
"Trouble with the Curve","tt2083383",2012,6e+07
"Frances Ha","tt2347569",2013,3e+06
"The Zookeeper's Wife","tt1730768",2017,NA
"Smallfoot","tt6182908",2018,8e+07
"Halloween Ends","tt10665342",2022,2e+07
"Freaky","tt10919380",2020,6e+06
"Burning","tt7282468",2018,NA
"Unsane","tt7153766",2018,1500000
"Hitchcock","tt0975645",2012,NA
"Minari","tt10633456",2021,2e+06
"Snake Eyes: G.I. Joe Origins","tt8404256",2021,8.8e+07
"Sorry to Bother You","tt5688932",2018,3200000
"An Officer and a Spy","tt2398149",2019,NA
"Dragon Ball Z: Battle of Gods","tt2263944",2013,NA
"Who Am I","tt3042408",2014,NA
"Blood Red Sky","tt6402468",2021,NA
"Eighth Grade","tt7014006",2018,2e+06
"Those Who Wish Me Dead","tt3215824",2021,NA
"August: Osage County","tt1322269",2013,2.5e+07
"The Transporter Refueled","tt2938956",2015,2.2e+07
"Hotel Mumbai","tt5461944",2019,NA
"V/H/S","tt2105044",2012,NA
"Boss Level","tt7638348",2021,NA
"The November Man","tt2402157",2014,1.5e+07
"At Eternity's Gate","tt6938828",2018,NA
"The Boy and the Beast","tt4272866",2015,NA
"The Loft","tt1850397",2014,NA
"C'est la vie!","tt5699154",2017,NA
"Dead Man Down","tt2101341",2013,3e+07
"2:22","tt1131724",2017,NA
"Judas and the Black Messiah","tt9784798",2021,2.6e+07
"The Frozen Ground","tt2005374",2013,19200000
"Better Watch Out","tt4443658",2017,NA
"Walk of Shame","tt2463288",2014,NA
"[REC]³ Genesis","tt1649444",2012,NA
"DC League of Super-Pets","tt8912936",2022,9e+07
"Blue Ruin","tt2359024",2014,420000
"I Want to Eat Your Pancreas","tt7236034",2018,NA
"Tully","tt5610554",2018,NA
"Here Comes the Boom","tt1648179",2012,4.2e+07
"Dumplin'","tt4878482",2018,1.3e+07
"Marrowbone","tt5886440",2017,NA
"Where the Crawdads Sing","tt9411972",2022,2.4e+07
"Safety Not Guaranteed","tt1862079",2012,750000
"Boruto: Naruto the Movie","tt4618398",2015,NA
"Escape Plan 2: Hades","tt6513656",2018,NA
"Absolutely Anything","tt1727770",2015,NA
"The Man Who Knew Infinity","tt0787524",2015,1e+07
"Sabotage","tt1742334",2014,3.5e+07
"The Old Man & the Gun","tt2837574",2018,NA
"Brain on Fire","tt3704700",2017,NA
"Song of the Sea","tt1865505",2014,NA
"A Street Cat Named Bob","tt3606888",2016,NA
"Boy Erased","tt7008872",2018,1.1e+07
"Stonehearst Asylum","tt1772264",2014,NA
"Land of Mine","tt3841424",2015,NA
"Mustang","tt3966404",2015,1400000
"Gretel & Hansel","tt9086228",2020,NA
"Rust and Bone","tt2053425",2012,19500000
"Kill Your Darlings","tt1311071",2013,NA
"Tolkien","tt3361792",2019,2e+07
"BPM (Beats per Minute)","tt6135348",2017,NA
"Color Out of Space","tt5073642",2019,NA
"I, Daniel Blake","tt5168192",2016,NA
"Babysitting 2","tt4400058",2015,NA
"Europa Report","tt2051879",2013,NA
"Fifty Shades of Black","tt4667094",2016,5e+06
"Clown","tt1780798",2014,NA
"Shaun the Sheep Movie","tt2872750",2015,NA
"Welcome to the North","tt1756415",2012,NA
"Wonder Wheel","tt5825380",2017,NA
"Tusk","tt3099498",2014,3e+06
"Bastille Day","tt2368619",2016,NA
"Imperium","tt4781612",2016,NA
"Brawl in Cell Block 99","tt5657856",2017,4e+06
"It Boy","tt2186812",2013,NA
"Belfast","tt12789558",2021,NA
"The Guernsey Literary & Potato Peel Pie Society","tt1289403",2018,NA
"A Most Wanted Man","tt1972571",2014,NA
"The Bar","tt5121816",2017,NA
"Asterix: The Mansions of the Gods","tt3759416",2014,NA
"The Strangers: Prey at Night","tt1285009",2018,5e+06
"The Book of Henry","tt4572792",2017,1e+07
"Live by Night","tt2361317",2016,6.5e+07
"First Reformed","tt6053438",2018,3500000
"Replicas","tt4154916",2018,3e+07
"My Life as a Zucchini","tt2321405",2016,NA
"Under the Silver Lake","tt5691670",2018,NA
"Greta","tt2639336",2018,NA
"Short Term 12","tt2370248",2013,4e+05
"Titane","tt10944760",2021,NA
"Odd Thomas","tt1767354",2013,NA
"Dark Places","tt2402101",2015,11900000
"Boyka: Undisputed IV","tt3344680",2016,NA
"Citizenfour","tt4044364",2014,NA
"Free Solo","tt7775622",2018,NA
"The Wave","tt3616916",2015,NA
"Serial (Bad) Weddings 2","tt6556670",2019,NA
"Suburra","tt4025514",2015,NA
"Asterix & Obelix: God Save Britannia","tt1597522",2012,NA
"Fruitvale Station","tt2334649",2013,9e+05
"Can You Ever Forgive Me?","tt4595882",2018,1e+07
"The Death and Return of Superman","tt11043546",2019,NA
"Leatherface","tt2620590",2017,NA
"Summer of 84","tt5774450",2018,NA
"See You Up There","tt5258850",2017,NA
"Fist Fight","tt3401882",2017,2.5e+07
"I Can Quit Whenever I Want 2: Masterclass","tt5897288",2017,NA
"Tolo Tolo","tt10413566",2020,NA
"Wanderlust","tt1655460",2012,32500000
"Bullet to the Head","tt1308729",2013,5.5e+07
"I Lost My Body","tt9806192",2019,NA
"Insidious: The Red Door","tt13405778",2023,1.6e+07
"Wish Dragon","tt5562070",2021,NA
"I Spit on Your Grave 2","tt2537176",2013,NA
"The Red Turtle","tt3666024",2016,NA
"The Addams Family 2","tt11125620",2021,NA
"Serial Teachers","tt2276778",2013,NA
"The Body","tt1937149",2012,NA
"Mudbound","tt2396589",2017,1e+07
"The Titan","tt4986098",2018,NA
"Popstar: Never Stop Never Stopping","tt3960412",2016,2e+07
"Toc Toc","tt6060156",2017,NA
"PAW Patrol: The Movie","tt11832046",2021,NA
"Cosmopolis","tt1480656",2012,NA
"Red Lights","tt1748179",2012,NA
"Bachelorette","tt1920849",2012,3e+06
"Escape from Pretoria","tt5797184",2020,NA
"Young & Beautiful","tt2752200",2013,NA
"Personal Shopper","tt4714782",2016,6400000
"Time Lapse","tt2669336",2014,NA
"Secret of the Wings","tt1217213",2012,NA
"I Kill Giants","tt4547194",2017,NA
"Jolt","tt10228134",2021,NA
"A-X-L","tt5709188",2018,1e+07
"The Zero Theorem","tt2333804",2013,NA
"Leave No Trace","tt3892172",2018,NA
"Asterix: The Secret of the Magic Potion","tt8001346",2018,NA
"The Void","tt4255304",2016,NA
"The Odd Life of Timothy Green","tt1462769",2012,4e+07
"Victoria & Abdul","tt5816682",2017,NA
"The Flu","tt2351310",2013,NA
"Jexi","tt9354944",2019,5e+06
"Gone","tt1838544",2012,1.9e+07
"Chip 'n Dale: Rescue Rangers","tt3513500",2022,NA
"My Hero Academia: Heroes Rising","tt11107074",2019,NA
"So Undercover","tt1766094",2012,NA
"High-Rise","tt0462335",2015,NA
"Laggies","tt2034031",2014,NA
"The Tall Man","tt1658837",2012,NA
"Jujutsu Kaisen 0","tt14331144",2021,NA
"RRR","tt8178634",2022,NA
"Borg vs McEnroe","tt5727282",2017,7500000
"Below Her Mouth","tt5073620",2017,NA
"The Mafia Kills Only in Summer","tt3374966",2013,NA
"If Beale Street Could Talk","tt7125860",2018,1.2e+07
"The First King","tt7278824",2019,NA
"Ruby Red","tt2418558",2013,NA
"20th Century Women","tt4385888",2016,7e+06
"The Professor and the Madman","tt5932728",2019,NA
"Suite Française","tt0900387",2015,NA
"The Colony","tt1160996",2013,NA
"The Good Nurse","tt4273800",2022,NA
"The Taking of Deborah Logan","tt3387648",2014,NA
"A Hologram for the King","tt2980210",2016,NA
"Operation Fortune: Ruse de Guerre","tt7985704",2023,NA
"Thoroughbreds","tt5649108",2018,5e+06
"Now Is Good","tt1937264",2012,5e+05
"Disconnect","tt1433811",2012,NA
"Captive State","tt5968394",2019,2.5e+07
"Holy Motors","tt2076220",2012,4e+06
"The Kings of Summer","tt2179116",2013,NA
"My Spy","tt8242084",2020,1.8e+07
"Happiest Season","tt8522006",2020,NA
"Blackfish","tt2545118",2013,NA
"While We're Young","tt1791682",2015,NA
"Drive My Car","tt14039582",2021,NA
"[REC]⁴ Apocalypse","tt1649443",2014,NA
"Brimstone","tt1895315",2016,NA
"Tracers","tt2401097",2015,NA
"'71","tt2614684",2014,NA
"Blue Beetle","tt9362930",2023,1.2e+08
"A Man Called Ove","tt4080728",2015,NA
"The Worst Person in the World","tt10370710",2021,NA
"The Captive","tt2326612",2014,NA
"Bones and All","tt10168670",2022,NA
"Wolfwalkers","tt5198068",2020,11250000
"Free Fire","tt4158096",2017,1e+07
"Renfield","tt11358390",2023,86203077
"Black Sea","tt2261331",2014,NA
"Everybody Wants Some!!","tt2937696",2016,1e+07
"Superchondriac","tt3421514",2014,NA
"The Whole Truth","tt3503406",2016,NA
"Maps to the Stars","tt2172584",2014,NA
"Unlocked","tt1734493",2017,NA
"Shin Godzilla","tt4262980",2016,NA
"Last Knights","tt2493486",2015,NA
"Pelé: Birth of a Legend","tt0995868",2016,NA
"13 Sins","tt2059171",2014,4e+06
"After Ever Happy","tt13070038",2022,NA
"Robot & Frank","tt1990314",2012,NA
"The Physician","tt2101473",2013,NA
"Barely Lethal","tt1731701",2015,1.5e+07
"Daddy or Mommy","tt4080672",2015,NA
"High Life","tt4827558",2018,NA
"Red Shoes and the Seven Dwarfs","tt4429160",2019,NA
"Tutta colpa di Freud","tt3237406",2014,NA
"The Broken Circle Breakdown","tt2024519",2012,NA
"The Bad Batch","tt4334266",2017,NA
"Cell","tt0775440",2016,NA
"Bacurau","tt2762506",2019,NA
"The Current War","tt2140507",2018,3e+07
"Beasts of the Southern Wild","tt2125435",2012,1800000
"Wrong Turn","tt9110170",2021,1e+07
"Son of Saul","tt3808342",2015,NA
"One Wild Moment","tt2191765",2015,NA
"Far from the Madding Crowd","tt2935476",2015,15495600
"The Endless","tt3986820",2017,NA
"Antlers","tt7740510",2021,NA
"American Animals","tt6212478",2018,NA
"The Woman in Black 2: Angel of Death","tt2339741",2014,NA
"Stan & Ollie","tt3385524",2018,NA
"Three Thousand Years of Longing","tt9198364",2022,6e+07
"Amityville: The Awakening","tt1935897",2017,NA
"Tinker Bell and the Legend of the NeverBeast","tt3120408",2014,NA
"Space Pirate Captain Harlock","tt2668134",2013,3e+07
"Blacklight","tt14060094",2022,2.9e+07
